# s_m, x_m, y_m, vx_mps
265.8751815,341.488187,169.3959675,8.2937961
266.8747122,341.4287192,170.3945657,8.2875271
267.874243,341.2593953,171.3811154,8.2875271
268.8737737,340.9800372,172.3415781,8.2875271
269.8733045,340.6236186,173.2737148,8.3870236
270.8728352,340.224238,174.1857252,8.6052367
271.872366,339.7895729,175.08341,8.8269884
272.8718968,339.3164498,175.9641242,9.0217651
273.8714275,338.8020589,176.8222905,9.1895834
274.8709583,338.2462496,177.6538457,9.3412967
275.870489,337.6499517,178.4567075,9.4839566
276.8700198,337.0145026,179.2293405,9.6201321
277.8695505,336.3413652,179.9699043,9.749626
278.8690813,335.6318591,180.6760947,9.8708221
279.8686121,334.8875456,181.3445096,9.9812335
280.8681428,334.1093922,181.9709537,10.0754861
281.8676736,333.2982385,182.5537686,10.1605809
282.8672043,332.4575742,183.0939306,10.2534378
283.8667351,331.5918255,183.592809,10.3557506
284.8662658,330.7045724,184.0526203,10.4679287
285.8657966,329.7992914,184.4759407,10.5906319
286.8653274,328.8790212,184.8657361,10.7241309
287.8648581,327.9464607,185.2252297,10.8686308
288.8643889,327.0039516,185.557843,11.0242641
289.8639196,326.0535175,185.8671365,11.1911592
290.8634504,325.0968984,186.1567704,11.3579068
291.8629811,324.1355869,186.4304477,11.5207949
292.8625119,323.1708044,186.6916371,11.6800181
293.8620427,322.2033587,186.9428014,11.8357552
294.8615734,321.2335841,187.184901,11.988171
295.8611042,320.2616768,187.4182813,12.1374182
296.8606349,319.2877823,187.6432158,12.2836379
297.8601657,318.3120375,187.8599762,12.4269614
298.8596965,317.3345719,188.0688328,12.5675108
299.8592272,316.3555071,188.2700546,12.7054
300.858758,315.374958,188.4639095,12.8407354
301.8582887,314.3930327,188.6506648,12.9736167
302.8578195,313.409833,188.8305875,13.1041371
303.8573502,312.4254546,189.003944,13.2323843
304.856881,311.4399879,189.1710011,13.3584409
305.8564118,310.4535172,189.332023,13.4823846
306.8559425,309.4661175,189.4872468,13.6042886
307.8554733,308.4778471,189.6368279,13.7242221
308.855004,307.4887541,189.7808711,13.8422505
309.8545348,306.4988827,189.9194675,13.9584359
