 x_m, y_m, vx_mps
-2.4428963,-9.1225449,2.4334018
-2.5008728,-9.1378639,2.4460498
-2.559424,-9.1508136,2.4594103
-2.6184316,-9.1614253,2.4737752
-2.6777959,-9.1697473,2.4894618
-2.7374347,-9.1758415,2.5067783
-2.7972586,-9.1797797,2.5259822
-2.8571866,-9.1816458,2.5473177
-2.9171465,-9.1815348,2.5710166
-2.9770755,-9.1795521,2.5973017
-3.0369213,-9.1758121,2.6263893
-3.0966417,-9.1704375,2.6584969
-3.1562057,-9.1635585,2.6938425
-3.215592,-9.1553116,2.730038
-3.2747912,-9.1458388,2.765547
-3.3338085,-9.1352865,2.8003969
-3.3926678,-9.1238004,2.8346134
-3.4513594,-9.1115027,2.8682201
-3.5098861,-9.0984742,2.9012396
-3.5682556,-9.0847702,2.9336929
-3.6264718,-9.070435,2.9655996
-3.6845379,-9.0555078,2.9969784
-3.7424579,-9.0400241,3.0278468
-3.8002354,-9.0240168,3.0582214
-3.8578745,-9.0075165,3.0881177
-3.9153791,-8.9905518,3.1175508
-3.9727535,-8.9731501,3.1465345
-4.0300022,-8.9553377,3.1750822
-4.0871302,-8.9371402,3.2032066
-4.1441427,-8.9185831,3.2309198
-4.2010455,-8.8996918,3.2582333
-4.2578448,-8.8804915,3.2851579
-4.3145476,-8.8610084,3.3117042
-4.3711612,-8.8412685,3.3378821
-4.4276952,-8.8212982,3.3637012
-4.4841577,-8.8011223,3.3891705
-4.5405539,-8.7807613,3.4142988
-4.5968898,-8.7602335,3.4390945
-4.6531717,-8.7395578,3.4635657
-4.7094063,-8.7187536,3.4877199
-4.7656007,-8.6978413,3.5115647
-4.8217619,-8.6768403,3.5351071
-4.8778952,-8.6557654,3.558354
-4.9340049,-8.6346285,3.581312
-4.9900952,-8.6134416,3.6039874
-5.0461713,-8.5922172,3.6263864
-5.1022364,-8.5709694,3.6485147
-5.1582983,-8.5497051,3.6703782
-5.2143459,-8.5284195,3.6919823
-5.2703536,-8.5070898,3.7133323
-5.3263409,-8.4856934,3.7344333
-5.3823276,-8.4642394,3.7552903
-5.4383017,-8.4427481,3.7759081
-5.4942631,-8.4212277,3.7962913
-5.550217,-8.3996839,3.8164444
-5.6061647,-8.3781233,3.8363717
-5.6621088,-8.3565514,3.8560775
-5.718051,-8.334973,3.8755659
-5.773993,-8.3133924,3.8948408
-5.8299364,-8.2918133,3.913906
-5.8858822,-8.2702389,3.9327654
-5.9418314,-8.2486718,3.9514224
-5.9977848,-8.2271144,3.9698807
-6.0537428,-8.2055683,3.9881437
-6.1096984,-8.1840379,4.0062146
-6.1656579,-8.1625217,4.0240968
-6.2216242,-8.1410195,4.0417934
