 x_m, y_m, vx_mps
-0.0949052,10.4118391,2.5079702
-0.1057945,10.4397848,2.4962781
-0.1172515,10.4675014,2.4852399
-0.1292842,10.4949723,2.4749258
-0.1419002,10.5221799,2.4654233
-0.1551085,10.5491074,2.45685
-0.168916,10.5757324,2.4493187
-0.1833303,10.6020331,2.4427825
-0.1983577,10.627988,2.4371535
-0.2140026,10.6535757,2.4325773
-0.2302693,10.6787735,2.4289375
-0.2471567,10.7035584,2.4252922
-0.2646531,10.7279158,2.4221037
-0.282744,10.7518353,2.4195787
-0.3014159,10.775305,2.4174855
-0.320657,10.7983121,2.4155995
-0.3404571,10.8208421,2.4137033
-0.3608061,10.8428771,2.4115856
-0.3816921,10.8643947,2.4090338
-0.4031132,10.8853811,2.4058873
-0.4250571,10.9058224,2.4027309
-0.4475034,10.9257131,2.4006312
-0.4704313,10.9450498,2.3995674
-0.4938215,10.9638281,2.3992976
-0.5176562,10.9820424,2.3996012
-0.5419111,10.9996803,2.4002775
-0.5665732,11.0167364,2.401132
-0.5916326,11.0332056,2.4020293
-0.6170728,11.0490827,2.4032264
-0.6428739,11.0643688,2.4053244
-0.6690159,11.0790666,2.4083364
-0.6954797,11.0931787,2.412144
-0.7222471,11.1067078,2.4166491
-0.7493005,11.1196567,2.4217726
-0.776623,11.1320284,2.4274532
-0.8041982,11.1438259,2.4336455
-0.8320103,11.155053,2.4403197
-0.8600438,11.1657139,2.4474592
-0.8882838,11.1758132,2.4550614
-0.9167155,11.1853565,2.4631353
-0.9453253,11.1943501,2.4716897
-0.9741004,11.2028019,2.4808286
-1.0030286,11.2107147,2.4900713
-1.0320985,11.218087,2.4989902
-1.0613002,11.2249198,2.5078012
-1.0906231,11.2312172,2.5167726
-1.1200558,11.2369858,2.5261137
-1.1495873,11.2422354,2.5360369
-1.1792065,11.246978,2.5467278
-1.2089027,11.2512286,2.5583601
-1.2386658,11.2550042,2.5710917
-1.2684859,11.2583243,2.5850682
-1.2983308,11.2612084,2.6004237
-1.3282116,11.2636826,2.6173136
-1.3581256,11.2657726,2.6358609
-1.3880664,11.2675057,2.654599
-1.4180283,11.2689107,2.67315
-1.4480063,11.2700179,2.6915182
-1.4779962,11.2708591,2.7097073
-1.5079922,11.2714674,2.7277211
-1.5379722,11.271877,2.7455632
-1.567959,11.2721241,2.7632371
-1.5979507,11.272243,2.7807462
-1.6279459,11.2722632,2.7980937
-1.6579435,11.2722099,2.8152828
-1.6879428,11.2721078,2.8323165
-1.7179335,11.2719824,2.8491977
-1.7479224,11.2718591,2.8659293
-1.7779142,11.2717596,2.882514
-1.807908,11.271692,2.8989545
-1.8379035,11.2716544,2.9152534
-1.8678999,11.2716423,2.9314133
-1.8978915,11.2716513,2.9474364
-1.9278828,11.2716769,2.9633252
-1.9578759,11.271715,2.9790821
-1.9878701,11.2717615,2.9947091
-2.0178642,11.2718125,3.0102085
-2.0478575,11.2718642,3.0255824
-2.077851,11.271913,3.0408328
-2.1078468,11.2719554,3.0559617
-2.137842,11.2719914,3.070971
-2.1678349,11.2720233,3.0858626
-2.1978256,11.2720526,3.1006384
-2.2278145,11.2720795,3.1153001
-2.2578127,11.2721039,3.1298494
-2.2878095,11.2721255,3.1442881
-2.3178043,11.2721444,3.1586178
-2.3477964,11.272161,3.17284
-2.3777852,11.2721754,3.1869564
-2.4077705,11.2721876,3.2009686
-2.4377713,11.2721972,3.2148778
-2.46777,11.2722032,3.2286858
-2.4977658,11.2722053,3.2423937
-2.5277587,11.2722031,3.2560031
-2.5577482,11.2721966,3.2695153
-2.5877342,11.2721861,3.2829316
-2.6177226,11.2721721,3.2962533
-2.6477242,11.2721553,3.3094817
-2.6777232,11.2721371,3.2699567
-2.7077193,11.2721187,3.2200147
-2.7377127,11.272102,3.1692858
-2.7677035,11.2720851,3.1194148
-2.7976918,11.2720519,3.0724209
-2.8276773,11.2719681,3.0286992
-2.8576624,11.2717946,2.988073
-2.8876629,11.2714928,2.9503537
-2.9176595,11.271025,2.9153872
-2.9476504,11.2703552,2.8830278
-2.9776334,11.2694481,2.8531369
-3.0076052,11.26827,2.8255809
-3.037562,11.2667885,2.8002306
-3.0674992,11.2649727,2.7769588
-3.097411,11.262793,2.7556394
-3.127291,11.2602215,2.7361454
-3.1571316,11.2572322,2.7183474
-3.1869246,11.2538005,2.7021136
-3.2166605,11.249904,2.6873157
-3.2463291,11.2455221,2.6738392
-3.2759197,11.2406358,2.6615646
-3.3054203,11.2352283,2.6503707
-3.3348186,11.2292844,2.6401348
-3.3641012,11.2227913,2.6307319
-3.3932547,11.2157378,2.6220358
-3.422265,11.208115,2.6139198
-3.4511177,11.199916,2.6062572
-3.4797984,11.1911355,2.5989234
-3.5082928,11.1817707,2.5917973
-3.5365864,11.1718201,2.5847643
-3.5646652,11.1612841,2.577719
-3.5925154,11.1501645,2.5706576
-3.6201239,11.1384644,2.563498
-3.6474778,11.1261877,2.5561682
-3.6745711,11.1133358,2.5486185
-3.701399,11.0999091,2.5408335
-3.7279326,11.0859202,2.5328512
-3.7541595,11.0713731,2.5247765
-3.7800668,11.0562702,2.5168947
-3.8056412,11.0406122,2.509455
-3.8308677,11.0243972,2.5027694
-3.8557271,11.007622,2.4972886
-3.8801934,10.9902835,2.4932923
-3.9042442,10.9723745,2.4895617
-3.9278654,10.9538998,2.4858255
-3.9510533,10.9348771,2.4833822
-3.973803,10.9153226,2.4819199
-3.9960991,10.8952539,2.4806406
-4.0179227,10.8747007,2.4802373
-4.0392865,10.8536643,2.4807677
-4.0601795,10.832155,2.4811185
-4.0805899,10.8101826,2.4813519
-4.1005051,10.7877572,2.4813903
-4.1199124,10.7648888,2.4812026
-4.1387994,10.7415876,2.4807907
-4.1571539,10.7178641,2.4801662
-4.174964,10.6937292,2.4793499
-4.1922184,10.6691939,2.4783661
-4.2089062,10.64427,2.4772418
-4.2250169,10.6189694,2.4760056
-4.2405406,10.5933046,2.4746883
-4.2554679,10.5672884,2.4733234
-4.26979,10.5409344,2.4719479
-4.283499,10.5142562,2.4706029
-4.2965875,10.4872684,2.4693344
-4.3090494,10.4599855,2.4681934
-4.3208795,10.4324229,2.4672363
-4.3320736,10.404596,2.466525
-4.342629,10.3765209,2.4661264
-4.3525445,10.3482135,2.4661122
-4.3618203,10.3196903,2.4665581
-4.3704582,10.2909676,2.4675429
-4.3784618,10.262062,2.4691478
-4.3858364,10.2329896,2.4714548
-4.3925891,10.2037667,2.4745462
-4.3987289,10.174409,2.4785022
-4.4042666,10.144932,2.483402
-4.4092147,10.1153498,2.4893172
-4.413587,10.0856792,2.496324
-4.4173996,10.0559361,2.5044696
-4.4206804,10.0261268,2.5145444
-4.4234698,9.9962637,2.5278281
-4.425808,9.9663627,2.5440038
-4.4277358,9.936432,2.5630544
-4.429294,9.9064797,2.5825406
-4.4305232,9.876512,2.6018231
-4.4314639,9.8465338,2.6209065
-4.4321563,9.8165488,2.6397953
-4.4326406,9.7865596,2.6584939
-4.4329568,9.7565682,2.6770064
-4.4331446,9.7265758,2.6953368
-4.4332437,9.696583,2.7134889
-4.4332905,9.6665902,2.7314666
-4.4333101,9.6365975,2.7492732
-4.433312,9.6066048,2.7669124
-4.4333,9.5766121,2.7843874
-4.4332775,9.5466195,2.8017016
-4.4332479,9.5166268,2.8188579
-4.4332145,9.4866341,2.8358594
-4.4331798,9.4566414,2.8527091
-4.4331444,9.4266488,2.8694097
-4.4331087,9.3966561,2.8859641
-4.4330728,9.3666634,2.9023748
-4.4330367,9.3366707,2.9186444
-4.4330006,9.306678,2.9347754
-4.4329646,9.2766853,2.9507703
-4.4329287,9.2466926,2.9666314
-4.4328931,9.2166998,2.9823609
-4.4328579,9.1867071,2.997961
-4.4328231,9.1567144,3.013434
-4.4327887,9.1267217,3.0287819
-4.432755,9.0967289,3.0440067
