# x_m,y_m,w_tr_right_m,w_tr_left_m
10.591612903225805,3.9193548387096775,0.22,0.22
10.616451612903226,3.94,0.22,0.22
10.641290322580645,3.9606451612903215,0.22,0.22
10.666129032258064,3.980967741935484,0.22,0.22
10.690967741935484,4.001290322580646,0.22,0.22
10.716129032258063,4.021935483870968,0.22,0.22
10.740967741935483,4.042258064516129,0.22,0.22
10.766129032258064,4.06258064516129,0.22,0.22
10.790967741935484,4.082580645161291,0.22,0.22
10.816129032258065,4.102903225806451,0.22,0.22
10.841290322580644,4.122903225806452,0.22,0.22
10.866451612903226,4.143225806451613,0.22,0.22
10.891612903225806,4.163225806451613,0.22,0.22
10.91709677419355,4.183225806451613,0.22,0.22
10.942258064516128,4.203225806451614,0.22,0.22
10.96774193548387,4.222903225806451,0.22,0.22
10.992903225806453,4.242903225806452,0.22,0.22
11.018387096774193,4.2625806451612895,0.22,0.22
11.043870967741936,4.282258064516129,0.22,0.22
11.069354838709677,4.3022580645161295,0.22,0.22
11.09483870967742,4.321612903225806,0.22,0.22
11.120645161290325,4.341290322580646,0.22,0.22
11.146129032258065,4.360967741935484,0.22,0.22
11.171935483870968,4.380322580645161,0.22,0.22
11.19741935483871,4.4,0.22,0.22
11.223225806451614,4.419354838709677,0.22,0.22
11.249032258064515,4.438709677419355,0.22,0.22
11.274838709677418,4.457741935483871,0.22,0.22
11.300645161290324,4.477096774193548,0.22,0.22
11.326451612903226,4.4964516129032255,0.22,0.22
11.352580645161291,4.515483870967741,0.22,0.22
11.378387096774194,4.534516129032258,0.22,0.22
11.404516129032258,4.553548387096774,0.22,0.22
11.43032258064516,4.57258064516129,0.22,0.22
11.456451612903225,4.591612903225807,0.22,0.22
11.48258064516129,4.610322580645161,0.22,0.22
11.508709677419354,4.629354838709677,0.22,0.22
11.53483870967742,4.648064516129033,0.22,0.22
11.560967741935483,4.666774193548386,0.22,0.22
11.587419354838708,4.685483870967742,0.22,0.22
11.613548387096774,4.704193548387098,0.22,0.22
11.64,4.72258064516129,0.22,0.22
11.666129032258064,4.741290322580645,0.22,0.22
11.692580645161293,4.759677419354839,0.22,0.22
11.719032258064518,4.7780645161290325,0.22,0.22
